PUID;Parent;LocalID;TypeGraphics
222;Ids.Pilot;ButtonLeftSmall;ioButtonText
223;Ids.Pilot;GridHdgCmdHeader;ioPanelGrid
224;Ids.Pilot;LabelHdgCmdHeader;ioLabel
225;Ids.Pilot;LabelhdgCmdHeaderUnit;ioLabel
226;Ids.Pilot;GridHdgCmd;ioPanelGrid
227;Ids.Pilot;InstrHdgCmd;ioTextBlock
228;Ids.Pilot;ButtRightSmall;ioButtonText
229;Ids.Pilot;ButtLeftBig;ioButtonText
230;Ids.Pilot;ButtMidTrn;ioButtonText
231;Ids.Pilot;ButtRightBig;ioButtonText
232;Ids.Pilot;ButtonWindLeftSmall;ioButtonText
233;Ids.Pilot;IconWindPort;ioIcon
234;Ids.Pilot;IconWindStarb;ioIcon
235;Ids.Pilot;ButtWindRightSmall;ioButtonText
236;Ids.Pilot;ButtWindLeftBig;ioButtonText
237;Ids.Pilot;ButtWindMidTack;ioButtonText
238;Ids.Pilot;ButtWindRightBig;ioButtonText
19;Ids.Track;ButtonCancelRteSelect;ioButtonIcon
20;Ids.Track;LabelRteListHeader;ioLabel
22;Ids.Track;CmbRteList;ioComboBox
24;Ids.Track;ButtonPrevRte;ioButtonIcon
25;Ids.Track;ButtonNextRte;ioButtonIcon
156;Ids.Track;LabelNearestWptHeader;ioLabel
158;Ids.Track;InstrNearestWpt;ioTextBlock
155;Ids.Track;GridNearestWptHeader;ioPanelGrid
157;Ids.Track;GridBtwSelectRteHeader;ioPanelGrid
159;Ids.Track;LabelBtwSelectRteHeader;ioLabel
192;Ids.Track;LabelBtwSelectRteHeaderUnit;ioLabel
193;Ids.Track;GridBtwSelectRte;ioPanelGrid
194;Ids.Track;InstrBtwSelectRte;ioTextBlock
195;Ids.Track;GridDtwSelectRteHeader;ioPanelGrid
196;Ids.Track;LabelDtwSelectRteHeader;ioLabel
197;Ids.Track;LabelDtwSelectRteHeaderUnit;ioLabel
198;Ids.Track;GridDtwSelectRte;ioPanelGrid
199;Ids.Track;InstrDtwSelectRte;ioTextBlock
201;Ids.Track;ButtonStartTrackSteer;ioButtonShape
202;Ids.Track;LabelWptSelectHeader;ioLabel
203;Ids.Track;CmbWptSelect;ioComboBox
204;Ids.Track;ButtonPrevWpt;ioButtonIcon
239;Ids.Track;ButtonNextWpt;ioButtonIcon
240;Ids.Track;GridBtwSelectWptHeader;ioPanelGrid
241;Ids.Track;LabelBtwSelectWptHeader;ioLabel
242;Ids.Track;LabelBtwSelectWptHeaderUnit;ioLabel
243;Ids.Track;GridDtwSelectWptHeader;ioPanelGrid
244;Ids.Track;LabelDtwSelectWptHeader;ioLabel
245;Ids.Track;LabelDtwSelectWptHeaderUnit;ioLabel
246;Ids.Track;ButtonCancelWptSelect;ioButtonIcon
247;Ids.Track;GridBtwSelectWpt;ioPanelGrid
248;Ids.Track;InstrBtwSelectWpt;ioTextBlock
249;Ids.Track;GridDtwSelectWpt;ioPanelGrid
250;Ids.Track;InstrDtwSelectWpt;ioTextBlock
251;Ids.Track;ButtonSetActiveWpt;ioButtonShape
252;Ids.Pilot;PanelSpeedAngles;ioPanelGrid
253;Ids.Pilot;GridBtwHeader;ioPanelGrid
